clip_id,rep,opponent,party,out_party,total_words,words_per_second,approve_location,rep_count,opponent_count,party_count,out_party_count,trump_count,rep_locations,opponent_locations,party_locations,out_party_locations,trump_locations
00158,elisestefanik,tedracobb,republican,democrat,83,2.7666666666666666,24.57831325301205,1,0,0,0,2,[24.03614457831325],[],[],[],"[2.891566265060241, 16.987951807228917]"
00159,elisestefanik,tedracobb,republican,democrat,12,0.4,10.0,1,0,0,0,0,[3.75],[],[],[],[]
00161,elisestefanik,tedracobb,republican,democrat,77,2.566666666666667,28.441558441558442,3,0,0,0,1,"[1.7532467532467533, 24.350649350649352, 27.467532467532468]",[],[],[],[1.1688311688311688]
00162,elisestefanik,tedracobb,republican,democrat,83,2.7666666666666666,25.30120481927711,1,0,0,0,0,[24.397590361445783],[],[],[],[]
00163,elisestefanik,tedracobb,republican,democrat,85,2.8333333333333335,1.4117647058823528,1,2,0,0,0,[0.5294117647058824],"[6.88235294117647, 27.705882352941178]",[],[],[]
00166,elisestefanik,tedracobb,republican,democrat,75,2.5,26.4,1,1,0,0,0,[25.4],[1.0],[],[],[]
00167,elisestefanik,tedracobb,republican,democrat,77,2.566666666666667,26.49350649350649,2,0,0,0,0,"[24.350649350649352, 25.51948051948052]",[],[],[],[]
00168,elisestefanik,tedracobb,republican,democrat,124,4.133333333333334,29.032258064516128,1,0,0,0,0,[26.25],[],[],[],[]
00169,elisestefanik,tedracobb,republican,democrat,87,2.9,26.896551724137932,3,1,0,0,0,"[14.310344827586206, 21.896551724137932, 26.03448275862069]",[0.8620689655172413],[],[],[]
00170,elisestefanik,tedracobb,republican,democrat,80,2.6666666666666665,28.5,3,1,0,0,0,"[16.3125, 25.3125, 27.5625]",[3.1875],[],[],[]
00171,elisestefanik,tedracobb,republican,democrat,66,2.2,,2,0,0,0,0,"[4.7727272727272725, 25.681818181818183]",[],[],[],[]
00172,elisestefanik,tedracobb,republican,democrat,75,2.5,,3,0,0,0,0,"[2.6, 22.599999999999998, 29.4]",[],[],[],[]
00175,elisestefanik,tedracobb,republican,democrat,80,2.6666666666666665,,2,1,0,0,0,"[16.3125, 27.5625]",[3.1875],[],[],[]
00176,elisestefanik,tedracobb,republican,democrat,81,2.7,,2,0,0,0,0,"[0.9259259259259258, 29.444444444444446]",[],[],[],[]
00178,elisestefanik,tedracobb,republican,democrat,84,2.8,21.785714285714285,2,0,0,0,0,"[6.25, 20.892857142857142]",[],[],[],[]
00179,elisestefanik,tedracobb,republican,democrat,81,2.7,24.444444444444443,2,0,0,0,0,"[0.5555555555555556, 23.51851851851852]",[],[],[],[]
